City,Country,Latitude,Longitude,Year,Month,Temperature
Hyderabad,India,17.38,78.47,1976,1,24.05
Hyderabad,India,17.38,78.47,1976,2,27.04
Hyderabad,India,17.38,78.47,1976,3,31.38
Hyderabad,India,17.38,78.47,1976,4,33.48
Hyderabad,India,17.38,78.47,1976,5,36.95
Hyderabad,India,17.38,78.47,1976,6,33.25
Hyderabad,India,17.38,78.47,1976,7,29.69
Hyderabad,India,17.38,78.47,1976,8,28.38
Hyderabad,India,17.38,78.47,1976,9,28.54
Hyderabad,India,17.38,78.47,1976,10,27.88
Hyderabad,India,17.38,78.47,1976,11,23.9
Hyderabad,India,17.38,78.47,1976,12,23.93
Hyderabad,India,17.38,78.47,1977,1,22.78
Hyderabad,India,17.38,78.47,1977,2,25.64
Hyderabad,India,17.38,78.47,1977,3,31.3
Hyderabad,India,17.38,78.47,1977,4,34.04
Hyderabad,India,17.38,78.47,1977,5,36.92
Hyderabad,India,17.38,78.47,1977,6,33.93
Hyderabad,India,17.38,78.47,1977,7,29.48
Hyderabad,India,17.38,78.47,1977,8,27.86
Hyderabad,India,17.38,78.47,1977,9,28.54
Hyderabad,India,17.38,78.47,1977,10,27.01
Hyderabad,India,17.38,78.47,1977,11,25.17
Hyderabad,India,17.38,78.47,1977,12,22.38
Hyderabad,India,17.38,78.47,1978,1,22.93
Hyderabad,India,17.38,78.47,1978,2,26.28
Hyderabad,India,17.38,78.47,1978,3,30.79
Hyderabad,India,17.38,78.47,1978,4,33.11
Hyderabad,India,17.38,78.47,1978,5,35.93
Hyderabad,India,17.38,78.47,1978,6,33.67
Hyderabad,India,17.38,78.47,1978,7,29.68
Hyderabad,India,17.38,78.47,1978,8,28.15
Hyderabad,India,17.38,78.47,1978,9,28.17
Hyderabad,India,17.38,78.47,1978,10,27.67
Hyderabad,India,17.38,78.47,1978,11,23.49
Hyderabad,India,17.38,78.47,1978,12,21.52
Hyderabad,India,17.38,78.47,1979,1,23.02
Hyderabad,India,17.38,78.47,1979,2,26.37
Hyderabad,India,17.38,78.47,1979,3,30.74
Hyderabad,India,17.38,78.47,1979,4,34.55
Hyderabad,India,17.38,78.47,1979,5,37.12
Hyderabad,India,17.38,78.47,1979,6,33.41
Hyderabad,India,17.38,78.47,1979,7,29.51
Hyderabad,India,17.38,78.47,1979,8,27.82
Hyderabad,India,17.38,78.47,1979,9,28.51
Hyderabad,India,17.38,78.47,1979,10,27.32
Hyderabad,India,17.38,78.47,1979,11,24.75
Hyderabad,India,17.38,78.47,1979,12,21.94
Hyderabad,India,17.38,78.47,1980,1,23.9
Hyderabad,India,17.38,78.47,1980,2,27.61
Hyderabad,India,17.38,78.47,1980,3,30.46
Hyderabad,India,17.38,78.47,1980,4,33.82
Hyderabad,India,17.38,78.47,1980,5,37.02
Hyderabad,India,17.38,78.47,1980,6,33.26
Hyderabad,India,17.38,78.47,1980,7,29.7
Hyderabad,India,17.38,78.47,1980,8,28.55
Hyderabad,India,17.38,78.47,1980,9,28.61
Hyderabad,India,17.38,78.47,1980,10,27.0
Hyderabad,India,17.38,78.47,1980,11,24.56
Hyderabad,India,17.38,78.47,1980,12,22.89
Hyderabad,India,17.38,78.47,1981,1,24.57
Hyderabad,India,17.38,78.47,1981,2,27.23
Hyderabad,India,17.38,78.47,1981,3,32.07
Hyderabad,India,17.38,78.47,1981,4,33.02
Hyderabad,India,17.38,78.47,1981,5,37.17
Hyderabad,India,17.38,78.47,1981,6,33.69
Hyderabad,India,17.38,78.47,1981,7,31.09
Hyderabad,India,17.38,78.47,1981,8,27.99
Hyderabad,India,17.38,78.47,1981,9,27.97
Hyderabad,India,17.38,78.47,1981,10,27.14
Hyderabad,India,17.38,78.47,1981,11,23.07
Hyderabad,India,17.38,78.47,1981,12,22.19
Hyderabad,India,17.38,78.47,1982,1,23.04
Hyderabad,India,17.38,78.47,1982,2,26.68
Hyderabad,India,17.38,78.47,1982,3,30.82
Hyderabad,India,17.38,78.47,1982,4,34.89
Hyderabad,India,17.38,78.47,1982,5,37.24
Hyderabad,India,17.38,78.47,1982,6,33.17
Hyderabad,India,17.38,78.47,1982,7,28.95
Hyderabad,India,17.38,78.47,1982,8,28.92
Hyderabad,India,17.38,78.47,1982,9,27.65
Hyderabad,India,17.38,78.47,1982,10,28.86
Hyderabad,India,17.38,78.47,1982,11,25.4
Hyderabad,India,17.38,78.47,1982,12,22.25
Hyderabad,India,17.38,78.47,1983,1,22.39
Hyderabad,India,17.38,78.47,1983,2,27.54
Hyderabad,India,17.38,78.47,1983,3,30.51
Hyderabad,India,17.38,78.47,1983,4,34.46
Hyderabad,India,17.38,78.47,1983,5,35.48
Hyderabad,India,17.38,78.47,1983,6,33.17
Hyderabad,India,17.38,78.47,1983,7,29.6
Hyderabad,India,17.38,78.47,1983,8,28.63
Hyderabad,India,17.38,78.47,1983,9,28.28
Hyderabad,India,17.38,78.47,1983,10,28.03
Hyderabad,India,17.38,78.47,1983,11,23.85
Hyderabad,India,17.38,78.47,1983,12,22.49
Hyderabad,India,17.38,78.47,1984,1,23.7
Hyderabad,India,17.38,78.47,1984,2,26.97
Hyderabad,India,17.38,78.47,1984,3,31.11
Hyderabad,India,17.38,78.47,1984,4,32.82
Hyderabad,India,17.38,78.47,1984,5,35.54
Hyderabad,India,17.38,78.47,1984,6,34.51
Hyderabad,India,17.38,78.47,1984,7,29.84
Hyderabad,India,17.38,78.47,1984,8,28.09
Hyderabad,India,17.38,78.47,1984,9,29.7
Hyderabad,India,17.38,78.47,1984,10,27.69
Hyderabad,India,17.38,78.47,1984,11,25.44
Hyderabad,India,17.38,78.47,1984,12,22.66
Hyderabad,India,17.38,78.47,1985,1,25.07
Hyderabad,India,17.38,78.47,1985,2,27.86
Hyderabad,India,17.38,78.47,1985,3,30.46
Hyderabad,India,17.38,78.47,1985,4,34.31
Hyderabad,India,17.38,78.47,1985,5,37.08
Hyderabad,India,17.38,78.47,1985,6,34.59
Hyderabad,India,17.38,78.47,1985,7,28.95
Hyderabad,India,17.38,78.47,1985,8,29.11
Hyderabad,India,17.38,78.47,1985,9,29.37
Hyderabad,India,17.38,78.47,1985,10,26.4
Hyderabad,India,17.38,78.47,1985,11,23.8
Hyderabad,India,17.38,78.47,1985,12,21.2
Hyderabad,India,17.38,78.47,1986,1,23.46
Hyderabad,India,17.38,78.47,1986,2,27.15
Hyderabad,India,17.38,78.47,1986,3,31.7
Hyderabad,India,17.38,78.47,1986,4,33.7
Hyderabad,India,17.38,78.47,1986,5,37.79
Hyderabad,India,17.38,78.47,1986,6,32.68
Hyderabad,India,17.38,78.47,1986,7,28.46
Hyderabad,India,17.38,78.47,1986,8,28.61
Hyderabad,India,17.38,78.47,1986,9,28.92
Hyderabad,India,17.38,78.47,1986,10,27.63
Hyderabad,India,17.38,78.47,1986,11,23.2
Hyderabad,India,17.38,78.47,1986,12,22.59
Hyderabad,India,17.38,78.47,1987,1,22.75
Hyderabad,India,17.38,78.47,1987,2,27.13
Hyderabad,India,17.38,78.47,1987,3,30.92
Hyderabad,India,17.38,78.47,1987,4,33.01
Hyderabad,India,17.38,78.47,1987,5,36.31
Hyderabad,India,17.38,78.47,1987,6,32.92
Hyderabad,India,17.38,78.47,1987,7,29.62
Hyderabad,India,17.38,78.47,1987,8,29.33
Hyderabad,India,17.38,78.47,1987,9,27.98
Hyderabad,India,17.38,78.47,1987,10,28.02
Hyderabad,India,17.38,78.47,1987,11,24.29
Hyderabad,India,17.38,78.47,1987,12,22.11
Hyderabad,India,17.38,78.47,1988,1,23.61
Hyderabad,India,17.38,78.47,1988,2,25.96
Hyderabad,India,17.38,78.47,1988,3,30.3
Hyderabad,India,17.38,78.47,1988,4,32.85
Hyderabad,India,17.38,78.47,1988,5,38.06
Hyderabad,India,17.38,78.47,1988,6,33.71
Hyderabad,India,17.38,78.47,1988,7,29.19
Hyderabad,India,17.38,78.47,1988,8,28.83
Hyderabad,India,17.38,78.47,1988,9,28.61
Hyderabad,India,17.38,78.47,1988,10,27.53
Hyderabad,India,17.38,78.47,1988,11,25.11
Hyderabad,India,17.38,78.47,1988,12,23.21
Hyderabad,India,17.38,78.47,1989,1,23.33
Hyderabad,India,17.38,78.47,1989,2,26.3
Hyderabad,India,17.38,78.47,1989,3,30.51
Hyderabad,India,17.38,78.47,1989,4,32.09
Hyderabad,India,17.38,78.47,1989,5,35.64
Hyderabad,India,17.38,78.47,1989,6,34.66
Hyderabad,India,17.38,78.47,1989,7,30.85
Hyderabad,India,17.38,78.47,1989,8,28.53
Hyderabad,India,17.38,78.47,1989,9,29.11
Hyderabad,India,17.38,78.47,1989,10,27.92
Hyderabad,India,17.38,78.47,1989,11,26.86
Hyderabad,India,17.38,78.47,1989,12,23.49
Hyderabad,India,17.38,78.47,1990,1,23.63
Hyderabad,India,17.38,78.47,1990,2,26.05
Hyderabad,India,17.38,78.47,1990,3,29.6
Hyderabad,India,17.38,78.47,1990,4,33.86
Hyderabad,India,17.38,78.47,1990,5,36.19
Hyderabad,India,17.38,78.47,1990,6,32.72
Hyderabad,India,17.38,78.47,1990,7,29.27
Hyderabad,India,17.38,78.47,1990,8,27.96
Hyderabad,India,17.38,78.47,1990,9,29.9
Hyderabad,India,17.38,78.47,1990,10,28.34
Hyderabad,India,17.38,78.47,1990,11,24.71
Hyderabad,India,17.38,78.47,1990,12,23.76
Hyderabad,India,17.38,78.47,1991,1,23.79
Hyderabad,India,17.38,78.47,1991,2,26.14
Hyderabad,India,17.38,78.47,1991,3,31.8
Hyderabad,India,17.38,78.47,1991,4,34.12
Hyderabad,India,17.38,78.47,1991,5,36.01
Hyderabad,India,17.38,78.47,1991,6,33.6
Hyderabad,India,17.38,78.47,1991,7,29.13
Hyderabad,India,17.38,78.47,1991,8,27.77
Hyderabad,India,17.38,78.47,1991,9,29.39
Hyderabad,India,17.38,78.47,1991,10,29.07
Hyderabad,India,17.38,78.47,1991,11,23.76
Hyderabad,India,17.38,78.47,1991,12,23.13
Hyderabad,India,17.38,78.47,1992,1,23.3
Hyderabad,India,17.38,78.47,1992,2,26.42
Hyderabad,India,17.38,78.47,1992,3,30.34
Hyderabad,India,17.38,78.47,1992,4,33.15
Hyderabad,India,17.38,78.47,1992,5,36.79
Hyderabad,India,17.38,78.47,1992,6,33.17
Hyderabad,India,17.38,78.47,1992,7,29.95
Hyderabad,India,17.38,78.47,1992,8,28.72
Hyderabad,India,17.38,78.47,1992,9,28.59
Hyderabad,India,17.38,78.47,1992,10,27.12
Hyderabad,India,17.38,78.47,1992,11,24.35
Hyderabad,India,17.38,78.47,1992,12,23.28
Hyderabad,India,17.38,78.47,1993,1,24.12
Hyderabad,India,17.38,78.47,1993,2,26.09
Hyderabad,India,17.38,78.47,1993,3,30.84
Hyderabad,India,17.38,78.47,1993,4,34.3
Hyderabad,India,17.38,78.47,1993,5,35.61
Hyderabad,India,17.38,78.47,1993,6,34.15
Hyderabad,India,17.38,78.47,1993,7,29.31
Hyderabad,India,17.38,78.47,1993,8,29.17
Hyderabad,India,17.38,78.47,1993,9,28.24
Hyderabad,India,17.38,78.47,1993,10,26.51
Hyderabad,India,17.38,78.47,1993,11,23.63
Hyderabad,India,17.38,78.47,1993,12,22.81
Hyderabad,India,17.38,78.47,1994,1,23.97
Hyderabad,India,17.38,78.47,1994,2,26.16
Hyderabad,India,17.38,78.47,1994,3,31.24
Hyderabad,India,17.38,78.47,1994,4,32.63
Hyderabad,India,17.38,78.47,1994,5,36.75
Hyderabad,India,17.38,78.47,1994,6,32.94
Hyderabad,India,17.38,78.47,1994,7,29.34
Hyderabad,India,17.38,78.47,1994,8,28.83
